symbol,companyName
D-UN,Dream Office REIT
DA-DB-A,Discovery Air Inc 8.375
DAQ-WT,Dundee Acquisition Ltd W
DC-A,Dundee Corp. Cl.A Sv
DC-PR-D,Dundee Corp Pref Series
DC-WT,Dundee Corp Class A Wts
DCF,Difference Capital Finan
DCI,Directcash Payments Inc.
DCM-DB,Data Communications Mgmt 6.0 Pct Debs
DEE,Delphi Energy Corp.
DEE-WT,Delphi Energy Corp Wts
DF,Dividend 15 Split Corp.
DFN,Dividend 15 Split Corp
DGC,Detour Gold Corporation
DGR-B,Wisdomtree US Qlty Div Gwth Idx ETF Nh
DGS-PR-A,Dividend Growth Split Co
DH-DB,Dh Corporation 6.00 Pct
DHX-A,Dhx Media Ltd Class A
DII-A,Dorel Industries Inc. C
DII-DB-U,Dorel Industries Inc 5.5
DIR-DB,Dream Industrial REIT 5.
DIV,Diversified Royalty Corp
DLR-U,Horizons US Dollar Curre
DMM,Dynasty Metals
DNA-WT-A,Dalradian Resources Inc
DNT,Candente Copper Corp
DOO,Brp Inc
DQD,Wisdomtree US Qlty Div Gwth Dyn Hgd ETF
DR,Medical Facilities Corp
DRA-UN,Dream Hard Asset Alterna
DRM,Dream Unlimited Corp
DRT,Dirtt Environmental Solu
DS,Dividend Select 15 Corp.
DSL-UN,Doubleline Income Soluti
DWI,Dragonwave Inc.
DXM,F A Morningstar Cda Div
EBC-UN,Europe Blue Chip Div and
ECA,Encana Corp.
ECI,Enercare Inc.
ECN,Ecn Capital Corp
ECO,Ecosynthetix Inc
EDR,Endeavour Silver Corp.
EDV,Endeavour Mining Corp
EFL,Electrovaya Inc.
EFN-DB,Element Financial Corp 5
EFN-PR-A,Element Financial Corp P
EFN-PR-E,Element Financial Corp P
EFR,Energy Fuels Inc.
EFR-WT,Energy Fuels Inc Wts
EGI-UN,Excel India Growth and I
EGZ,Energizer Resources Inc
EIF,Exchange Income Corporat
EIF-DB-F,Exchange Income Corp 5.3
EIF-DB-H,Exchange Income Corp 5.25 Pct Debs
ELD,Eldorado Gold
ELF-PR-F,E-L Financial Corp. Ltd.
ELF-PR-H,E - L Financial Corp Ltd
ELV,Powershares SP Emg Mkts
EMA-PR-A,Emera Inc Series A Pref
EMA-PR-C,Emera Inc Pref Sh Series
EMA-PR-F,Emera Inc Series F Pref
EMP-A,Empire Company Ltd. Cl.
ENB-PF-A,Enbridge Inc Pref Series
ENB-PF-E,Enbridge Inc Pref Series
ENB-PF-I,Enbridge Inc Pref Series 17
ENB-PF-V,Enbridge Inc Pref Series
ENB-PR-B,Enbridge Inc Cum Redeem
ENB-PR-F,Enbridge Inc Pref Ser F
ENB-PR-J,Enbridge Inc Pref Ser 7
ENB-PR-P,Enbridge Inc Pref Ser P
ENB-PR-U,Enbridge Inc Pref Sh Ser
ENB-PR-Y,Enbridge Inc Cum Red Pre
ENF,Enbridge Income Fund Hol
ENI-UN,Energy Income Fund
ENT-DB,Entrec Corporation 7 Pct
EOX,Euromax Resources Ltd
EPS,Epsilon Energy Ltd.
EQB,Equitable Group Inc
EQI,Equity Financial Holding
ERD,Erdene Resource Developm
ERM,Eclipse Residential Mort
ESM,Euro Sun Mining Inc
ESP,Espial Group Inc.
ETG,Entree Gold Inc.
ETX,Etrion Corporation
EUR-A,First Trust Alphadex EUR
EXE,Extendicare Inc
EXF,Exfo Inc
EXN-WT,Excellon Resources Inc Wts
E,Enterprise Group Inc
EBF-UN,European Strategic Balan
ECF-UN,East Coast Invest Grade
ECI-DB,Enercare Inc. 6.25 Pct D
ECN-PR-A,Ecn Capital Corp Pref Series A
ECS,Ecobalt Solutions Inc
EDT,Spectral Medical Inc
EFH,Echelon Financial Holdin
EFN,Element Financial Corp
EFN-DB-A,Element Financial Corp 4
EFN-PR-C,Element Financial Corp P
EFN-PR-G,Element Financial Corp P
EFR-DB,Energy Fuels Inc Debs
EFX,Enerflex Ltd
EGL,Eagle Energy Inc.
EHE,Wisdomtree Europe Hedged Eqty Idx ETF
EIF-DB-E,Exchange Income Corp 5.5
EIF-DB-G,Exchange Income Corp 6.0
EIT-UN,Canoe Eit Income Fund Un
ELF,E-L Financial
ELF-PR-G,E- L Financial Corp. Lim
ELR,Eastern Platinum Limited
EMA,Emera Incorporated
EMA-PR-B,Emera Inc Pref Sh Series
EMA-PR-E,Emera Inc Pref Series E
EML-PR-A,The Empire Life Insurance Co Pref A
ENB,Enbridge Inc
ENB-PF-C,Enbridge Inc Pref Series
ENB-PF-G,Enbridge Inc Pref Series
ENB-PF-U,Enbridge Inc Preferred S
ENB-PR-A,Enbridge Pr
ENB-PR-D,Enbridge Inc Pref Ser D
ENB-PR-H,Enbridge Inc Preferred S
ENB-PR-N,Enbridge Inc Pref Ser N
ENB-PR-T,Enbridge Inc Pref Ser R
ENB-PR-V,Enbridge Inc Pref Ser 1
ENDP,Endo International Plc
ENGH,Enghouse Systems Ltd.
ENT,Entrec Corporation
EOM,Eco Oro Minerals Corp
EPI,Essa Pharma Inc
EPS-DB,Epsilon Energy Ltd 7.75
EQB-PR-C,Equitable Group Inc Pref
ER,Eastmain Res J
ERF,Enerplus Corporation
ESI,Ensign Energy Services I
ESN,Essential Energy Service
ET,Evertz Technologies Limi
ETP,First Trust Global Risk
EUR,First Trust Alphadex EUR
EVT,Economic Investment
EXE-DB-B,Extendicare Inc 6 Pct De
EXN,Excellon Resources Inc.
FAO,First Asset Active Credi
FAP,Aberdeen Asia-Pacific In
FBE,First Asset Canadian Buyback Index ETF
FC,Firm Capital Mortgage In
FC-DB-B,Firm Capital Mtg Inv Cor
FC-DB-D,Firm Capital Mortgage In
FC-DB-F,Firm Capital Mortgage 5.50 Pct Debs
FCE,First Asset Cambridge Core CDN Eq ETF
FCR-DB-E,First Capital Realty Inc
FCR-DB-I,First Capital Realty Inc
FCS-PR-C,Faircourt Split Trust 6.
FCU,Fission Uranium Corp
FCY-B,First Asset Cambridge Core US Eq ETF Uh
FDE-A,First Trust Alphadex Emg Mkt Div CAD AC
FDV-A,First Asset Active CDN Dividend ETF AC
FDY-A,First Trust Alphadex CDN Dividend ETF AC
FFH-PR-C,Fairfax Fncl Holdings Lt
FFH-PR-E,Fairfax Financial Hldngs
FFH-PR-G,Fairfax Financial Hldngs
FFH-PR-I,Fairfax Financial Holdin
FFH-PR-K,Fairfax Financial Holdin
FFH-U,Fairfax Financial Holdin
FFN,North American Financial
FGB,Fa Short Term Govt Bond Index Class ETF
